,Date,cruise,PAR
14063,2021-12-03 13:00:00+00:00,TN397_130,0.01965
14065,2021-12-03 14:00:00+00:00,TN397_130,0.8582000000000001
14067,2021-12-03 15:00:00+00:00,TN397_130,389.8986
14069,2021-12-03 16:00:00+00:00,TN397_130,1417.67825
14071,2021-12-03 17:00:00+00:00,TN397_130,1373.0593999999999
14073,2021-12-03 18:00:00+00:00,TN397_130,2009.2105
14075,2021-12-03 19:00:00+00:00,TN397_130,2355.3237
14077,2021-12-03 20:00:00+00:00,TN397_130,2528.9716
14079,2021-12-03 21:00:00+00:00,TN397_130,2424.470684210526
14081,2021-12-03 22:00:00+00:00,TN397_130,2389.83845
14083,2021-12-03 23:00:00+00:00,TN397_130,2363.9813000000004
14085,2021-12-04 00:00:00+00:00,TN397_130,2174.0216363636364
14087,2021-12-04 01:00:00+00:00,TN397_130,768.8089
14089,2021-12-04 02:00:00+00:00,TN397_130,177.17075
14091,2021-12-04 03:00:00+00:00,TN397_130,7.36635
14093,2021-12-04 04:00:00+00:00,TN397_130,0.020999999999999998
14095,2021-12-04 05:00:00+00:00,TN397_130,0.0216
14097,2021-12-04 06:00:00+00:00,TN397_130,0.02315
14099,2021-12-04 07:00:00+00:00,TN397_130,0.0208
14101,2021-12-04 08:00:00+00:00,TN397_130,0.01865
14103,2021-12-04 09:00:00+00:00,TN397_130,0.02135
14105,2021-12-04 10:00:00+00:00,TN397_130,0.02225
14107,2021-12-04 11:00:00+00:00,TN397_130,0.02535
14109,2021-12-04 12:00:00+00:00,TN397_130,0.027700000000000002
14111,2021-12-04 13:00:00+00:00,TN397_130,0.02736842105263158
14113,2021-12-04 14:00:00+00:00,TN397_130,0.8844
14115,2021-12-04 15:00:00+00:00,TN397_130,299.69155
14117,2021-12-04 16:00:00+00:00,TN397_130,1325.29455
14119,2021-12-04 17:00:00+00:00,TN397_130,1786.4153999999999
14121,2021-12-04 18:00:00+00:00,TN397_130,2287.40985
14123,2021-12-04 19:00:00+00:00,TN397_130,2370.9098000000004
14125,2021-12-04 20:00:00+00:00,TN397_130,2263.34355
14127,2021-12-04 21:00:00+00:00,TN397_130,2179.89795
14129,2021-12-04 22:00:00+00:00,TN397_130,2426.11205
14131,2021-12-04 23:00:00+00:00,TN397_130,2204.6147499999997
14133,2021-12-05 00:00:00+00:00,TN397_130,1738.27565
14135,2021-12-05 01:00:00+00:00,TN397_130,1604.31545
14137,2021-12-05 02:00:00+00:00,TN397_130,744.0715
14139,2021-12-05 03:00:00+00:00,TN397_130,13.364949999999999
14141,2021-12-05 04:00:00+00:00,TN397_130,0.02195
14143,2021-12-05 05:00:00+00:00,TN397_130,0.0241
14145,2021-12-05 06:00:00+00:00,TN397_130,0.0241
14147,2021-12-05 07:00:00+00:00,TN397_130,0.023100000000000002
14149,2021-12-05 08:00:00+00:00,TN397_130,0.0257
14151,2021-12-05 09:00:00+00:00,TN397_130,0.023799999999999998
14153,2021-12-05 10:00:00+00:00,TN397_130,0.0208
14155,2021-12-05 11:00:00+00:00,TN397_130,0.0194
14157,2021-12-05 12:00:00+00:00,TN397_130,0.0259
14159,2021-12-05 13:00:00+00:00,TN397_130,0.0218
14161,2021-12-05 14:00:00+00:00,TN397_130,1.1925000000000001
14163,2021-12-05 15:00:00+00:00,TN397_130,75.18665
14165,2021-12-05 16:00:00+00:00,TN397_130,598.7157500000001
14167,2021-12-05 17:00:00+00:00,TN397_130,1176.89565
14168,2021-12-05 18:00:00+00:00,TN397_130,1846.27
14170,2021-12-05 19:00:00+00:00,TN397_130,2333.2507
14172,2021-12-05 20:00:00+00:00,TN397_130,2391.3534
14174,2021-12-05 21:00:00+00:00,TN397_130,2388.87995
14176,2021-12-05 22:00:00+00:00,TN397_130,2192.9314999999997
14178,2021-12-05 23:00:00+00:00,TN397_130,2359.4392500000004
14180,2021-12-06 00:00:00+00:00,TN397_130,2222.14135
14182,2021-12-06 01:00:00+00:00,TN397_130,1944.57055
14184,2021-12-06 02:00:00+00:00,TN397_130,1094.11935
14186,2021-12-06 03:00:00+00:00,TN397_130,40.94865
14188,2021-12-06 04:00:00+00:00,TN397_130,0.0246
14190,2021-12-06 05:00:00+00:00,TN397_130,0.018
14192,2021-12-06 06:00:00+00:00,TN397_130,0.014349999999999998
14194,2021-12-06 07:00:00+00:00,TN397_130,0.016
14196,2021-12-06 08:00:00+00:00,TN397_130,0.020200000000000003
14198,2021-12-06 09:00:00+00:00,TN397_130,0.02085
14200,2021-12-06 10:00:00+00:00,TN397_130,0.0185
14202,2021-12-06 11:00:00+00:00,TN397_130,0.01875
14204,2021-12-06 12:00:00+00:00,TN397_130,0.0182
14206,2021-12-06 13:00:00+00:00,TN397_130,0.0174
14208,2021-12-06 14:00:00+00:00,TN397_130,1.0654
14210,2021-12-06 15:00:00+00:00,TN397_130,408.9475714285714
14212,2021-12-06 16:00:00+00:00,TN397_130,2051.207
14214,2021-12-06 17:00:00+00:00,TN397_130,1992.6035
14216,2021-12-06 18:00:00+00:00,TN397_130,1534.1388499999998
14218,2021-12-06 19:00:00+00:00,TN397_130,2231.9970000000003
14220,2021-12-06 20:00:00+00:00,TN397_130,2159.83665
14222,2021-12-06 21:00:00+00:00,TN397_130,1963.3412
14224,2021-12-06 22:00:00+00:00,TN397_130,2237.0901999999996
14226,2021-12-06 23:00:00+00:00,TN397_130,1754.5453499999999
14228,2021-12-07 00:00:00+00:00,TN397_130,1187.51475
14230,2021-12-07 01:00:00+00:00,TN397_130,660.1715
14232,2021-12-07 02:00:00+00:00,TN397_130,239.99380000000002
14234,2021-12-07 03:00:00+00:00,TN397_130,23.48325
14236,2021-12-07 04:00:00+00:00,TN397_130,0.021272727272727273
14238,2021-12-07 05:00:00+00:00,TN397_130,0.02295
14240,2021-12-07 06:00:00+00:00,TN397_130,0.01935
14242,2021-12-07 07:00:00+00:00,TN397_130,0.02095
14244,2021-12-07 08:00:00+00:00,TN397_130,0.0196
14246,2021-12-07 09:00:00+00:00,TN397_130,0.025
14248,2021-12-07 10:00:00+00:00,TN397_130,0.022
14250,2021-12-07 11:00:00+00:00,TN397_130,0.02245
14252,2021-12-07 12:00:00+00:00,TN397_130,0.02395
14254,2021-12-07 13:00:00+00:00,TN397_130,0.0248
14256,2021-12-07 14:00:00+00:00,TN397_130,0.7516999999999999
14258,2021-12-07 15:00:00+00:00,TN397_130,147.94905
14260,2021-12-07 16:00:00+00:00,TN397_130,1422.4458
14262,2021-12-07 17:00:00+00:00,TN397_130,1994.30755
